,User,Text,Date,Favorites,Retweets,Mentions,Hashtags
56,GregoryMarut,Co nam jakiś koronawirus będzie gadał gdzie i kiedy możemy latać. Mgła w Smoleńsku też nie przeszkadzała.,2020-01-30 22:00:43+00:00,0,1,,
57,ropa_i_gaz,Coś gorszego niż koronawirus! 😱😱😱😱😱😱😱😱😱😱😱😱 ,2020-01-30 21:57:12+00:00,1,1,,
58,chili_mus,"Nie ma jeszcze gotowej szczepionki, ale jest w trakcie przygotowań. Każde lekarstwo jest interesem firm farmac. Nic w tym nowego. Nowe jest natomiast to, że koronawirus zaskoczył wszystkich.",2020-01-30 21:56:27+00:00,0,0,,
59,Aizawatogay,"Koronawirus: *jest* Legit konto informacyjne: chorują głównie starsi i osoby ze słabą odpornością, a lekarstwo nie istnieje, organizm musi sobie poradzić sam Ja mająca od słabą odporność: *sok z aronii&gt;każdy inny napój, maseczka, witamina c, nie wychodzi z domu, tona kocyków*",2020-01-30 21:53:01+00:00,4,48,,
60,chili_mus,"Wszystko robią na bakier, niż reszta świata❗️@SzumowskiLukasz proszę posłuchać rady @WHO, która ogłosiła, że ​​potencjalnie śmiertelnonośny koronawirus jest międzynarodowym kryzysem zdrowotnym. Zostało to ogłoszone na konferencji prasowej w Genewie, dziś w czwartek wieczorem.",2020-01-30 21:52:34+00:00,0,4,@SzumowskiLukasz @WHO,
61,mihrisahhazal,@sultan_ahmedos chyba na koronawirus,2020-01-30 21:50:25+00:00,0,0,@sultan_ahmedos,
62,EurowPolsce,Koronawirus pokazuje jak bardzo świat zależy od Chin https://www.forbes.pl/gospodarka/koronawirus-a-gospodarka-chin-i-calego-swiata-prognozy-i-lancuch-dostaw/x62bp9r przez @@forbespolska,2020-01-30 21:49:50+00:00,1,3,@ForbesPolska,
63,bronek1227,Korona Billa Gatesa | OBNAŻANIE MATRIXA https://youtu.be/DX3AxLyJ5wM przez #MarcinVam #PolLechicki #Ariowie #Koronavirus #Event201 #Ludobójstwo,2020-01-30 21:48:08+00:00,1,0,,#MarcinVam #PolLechicki #Ariowie #Koronavirus #Event201 #Ludob
64,Mongolskabajka,"Do tego dodam jeszcze, że ten typ wirusa nie jest nowy i obcy. W nieco innej formie istniał wcześniej i zakażał głównie zwierzęta. #koronawirus #coronarvirus",2020-01-30 21:45:30+00:00,1,18,,#koronawirus #coronarvirus
65,adinfo24,"#wydarzenia Koronawirus Szybszy Niż Sars Liczba potwierdzonych przypadków zakażeni... http://adinfo24.pl/swiat/1654070,koronawirus_szybszy_niz_sars.html",2020-01-30 21:40:05+00:00,0,0,,#wydarzenia
66,nieudacznosc,chce zamówić sobie maseczki z aliexpress albo boję się #koronawirus,2020-01-30 21:38:09+00:00,0,1,,#koronawirus
67,maciejbiardzki,"Generalnie koronawirus jest dość powszechnym wirusem, ale jadąc Wyspiańskim ""ptak ptakowi niejednaki"". MERS był wyjątkowo zjadliwy. Jaki będzie obecny, zobaczymy. Na razie Chińczycy nie są zbyt odporni na niego, może my będziemy w tym lepsi. Pzdr.",2020-01-30 21:36:08+00:00,0,2,,
68,KrysaMaks,Ciekawe po ile u Grodzkiego koronawirus chodzi? #wtylewizji,2020-01-30 21:33:59+00:00,0,0,,#wtylewizji
69,Mr_BullTerier,Niech tylko pojawi się w Polsce koronawirus to czyja to będzie wina? PISu bo rządzi. Proste. Zapamiętajcie to.☝️,2020-01-30 21:33:50+00:00,1,5,,
70,goldenvmitch,podobno koronawirus zabija tych ludzi z najsłabszym systemem immunologicznym hej to ja:),2020-01-30 21:32:32+00:00,0,1,,
71,laudanozyna,"#koronawirus WHO: ogłaszamy stan ""światowego pogotowia"" ",2020-01-30 21:31:50+00:00,0,0,,#koronawirus
72,Jastrzebiec,WHO ogłasza światowe zagrożenie! Chodzi o koronawirus z Chin via @wmeritum,2020-01-30 21:30:09+00:00,0,0,@wmeritum,
73,JakubMokotow,"Zrobiłbym temat: Brexit, koronawirus a Donald Tusk",2020-01-30 21:29:03+00:00,0,0,,
74,unholy_womanx,Koronawirus pls kill me bo sama nie będę miała odwagi tego zrobić huh,2020-01-30 21:28:48+00:00,0,0,,
75,NinaT3333,Wystarczy że koronawirus dotrze do tv-pis. to już wystarczy aby sytuacja w Polsce zaczęła normalnieć.,2020-01-30 21:27:25+00:00,0,1,,
76,NakataSeba,Znalezione w necie#Koronawirus ,2020-01-30 21:25:50+00:00,0,2,,
77,tomaszuczkiewic,"Światowa Organizacja Zdrowia ogłasza ""stan wyjątkowy"". Chodzi o koronawirus z Chin ",2020-01-30 21:24:57+00:00,1,2,,
78,jodynaa,"Mam dla was mikro-ciekawostkę na wieczór: najpopularniejsza maseczka ""przeciwwirusowa"" (np. typu N95) zatrzymuje cząsteczki do rozmiaru 0,3 mikrona. A #koronawirus.y mają rozmiary od 0,06 do 0,14 mikrona. No. To miłego 😘",2020-01-30 21:23:27+00:00,14,61,,#koronawirus
79,DoniecMati,Koronawirus robi swoje ,2020-01-30 21:22:06+00:00,0,0,,
80,tvp_info,"WHO ogłosiła, że rozprzestrzenianie się koronawirusa stanowi obecnie zagrożenie zdrowia o zasięgu międzynarodowym #wieszwięcej #koronawirus ",2020-01-30 21:21:45+00:00,5,13,,#wieszwi #koronawirus
81,TomaszLejman,"Kolejny przypadek #koronawirus w Bawarii. Chodzi o pracownika firmy, w której wykryto 4 inne przypadki. @PolsatNewsPL",2020-01-30 21:21:35+00:00,1,0,@PolsatNewsPL,#koronawirus
82,Interia_Fakty,#Okęcie: Alarm na lotnisku w Warszawie z powodu podejrzenia zakażenia #koronawirus.em ,2020-01-30 21:20:42+00:00,0,1,,#Ok #koronawirus
83,Antiheero,"Tylko u nas: koronawirus prawdopodobnie miał wpływ na Brexit. Nowe sondaże poparcia wśród pogrążonych w kryzysie sędziów to potwierdzają!"" ;)",2020-01-30 21:20:13+00:00,0,4,,
